Question,Answer,Option,Option,Option,Option,Level
Qué planta te gusta?,Ésta,Ésto,Ése,Ésta,Éstas,A1
Qué hora es? ,Es la una y media,Es la una y media,Son la una y media,Es la uno y media,Son uno y media,A1
A los niños __________ los cómics,Les gustan,Se gustan,Se gusta,Les gusta,Les gustan,A1
Cuántos años tienes?,Tengo 27 años,Tengo 27 años,Tieno 27 años ,Soy 27 años ,Estoy 27 años,A1
Cuándo vienes?,Vengo a las 7.30,Vieno a las 7.30,Ven a las 7.30,Vengo a las 7.30,Vienes a las 7.30,A1
Ha ___________ Berta?,Llamado,Llama,Llamo,Llamado,Llamando,A2
_______ he terminado por hoy,Ya,Aún,Todavía,Ya,Vez,A2
Estos libros son ___________,Mios,Mis,Mi,Mios,Mias,A2
Tienes _________ libro de poesía?,Algún,Algún,Algo,Alguien,Alguno,A2
Ayer __________ paella de marisco,Comí,He comido,Comí,Como,Coma,A2
______________ vas de vacaciones?,Cada cuánto,Cada cuándo,Cada cómo,Cada cuánto,Como cuándo,A2
____________ listos para salir,Estamos,Somos,Estamos,,,B1
El concierto ______ en el estadio,Es,Está,Es,,,B1
La leche ______________. Tírala,Está mala,Es mala,Está mala,Es mal,Es mala,B1
Cuando ______ pequeño ______ una vez a un circo,Era / Fui,Fui / Fui,era / era,Era / fui,Fui / era,B1
